Response_size,Requests Time (no cnxn reuse),pyCurl Time (no cnxn reuse),Requests Time (cnxn reuse),pyCurl Time (cnxn reuse)
4,10.57290005683899,12.881441116333008,20.69159984588623,7.185319900512695
1024,11.267004013061523,12.047899007797241,21.88335609436035,6.80279803276062
4096,11.35699200630188,12.302227020263672,21.16353702545166,7.973640203475952
8192,11.554597854614258,12.434753179550171,21.347973108291626,8.629438877105713
32768,12.226283073425293,17.47734785079956,24.330202102661133,8.525309801101685
131072,19.669034957885742,37.54492807388306,44.73135995864868,19.619460105895996
