url,cycles,delay
http://127.0.0.1:5000/length/4096,10000,
Library,Reuse Connections?,Options,Time
requests,False,,26.358209133148193
requests,True,,12.433007001876831
pycurl,True,"Reuse handle, don't save body",6.434190034866333
pycurl,True,"Reuse handle, save response to new cStringIO buffer",6.590374946594238
pycurl,False,"Reuse handle, save response to new cStringIO buffer",12.152278184890747
pycurl,False,"New handle, save response to new cStringIO buffer",12.227031946182251
urllib3,True,,9.921936988830566
urllib,False,,16.925670862197876
