url,cycles,delay
http://127.0.0.1:5000/length/8192,10000,
Library,Reuse Connections?,Options,Time
requests,False,,26.362417936325073
requests,True,,13.993620157241821
pycurl,True,"Reuse handle, don't save body",6.374433994293213
pycurl,True,"Reuse handle, save response to new cStringIO buffer",6.562267065048218
pycurl,False,"Reuse handle, save response to new cStringIO buffer",12.08902907371521
pycurl,False,"New handle, save response to new cStringIO buffer",12.177886009216309
urllib3,True,,10.408121109008789
urllib,False,,17.043782949447632
