url,cycles,delay
http://127.0.0.1:5000/length/1024,10000,
Library,Reuse Connections?,Options,Time
requests,False,,26.365764141082764
requests,True,,12.98868703842163
pycurl,True,"Reuse handle, don't save body",6.310301065444946
pycurl,True,"Reuse handle, save response to new cStringIO buffer",6.450298070907593
pycurl,False,"Reuse handle, save response to new cStringIO buffer",12.166852951049805
pycurl,False,"New handle, save response to new cStringIO buffer",12.494988918304443
urllib3,True,,10.47963809967041
urllib,False,,17.083993911743164
